ID,Namespace,Name,LevelZ_Skills,Description,Parent,Tab,XP_Value
049,minecraft:adventure/sticky_situation,Sticky Situation,Agility,Use slime blocks or honey block mechanics effectively.,minecraft:story/root,Adventure,75
050,minecraft:adventure/ol_betsy,Ol' Betsy,Archery,Use a crossbow to shoot a mob or target.,minecraft:adventure/monster_hunter,Adventure,100
051,minecraft:adventure/surge_protector,Surge Protector,Agility,Use redstone or shields to protect from lightning or redstone events.,minecraft:story/root,Adventure,100
052,minecraft:adventure/caves_and_cliffs,Caves & Cliffs,Agility;Mining,Explore a deep cave system or cliff area.,minecraft:adventure/voluntary_exile,Adventure,100
053,minecraft:adventure/sneak_100,Sneak 100,Agility,Sneak behind mobs or players for a specific distance/time.,minecraft:story/root,Adventure,75
054,minecraft:adventure/sweet_dreams,Sweet Dreams,Health,Sleep in a bed without being attacked; safety/rest mechanics.,minecraft:story/root,Adventure,50
055,minecraft:adventure/hero_of_the_village,Hero of the Village,Luck;Trade,Complete a village raid or help villagers successfully.,minecraft:adventure/what_a_deal,Adventure,200
056,minecraft:adventure/is_it_a_balloon,Is It a Balloon?,Agility,Use a lead or ride a balloon-like entity (piglin bartering context).,minecraft:story/root,Adventure,75
057,minecraft:adventure/a_throwaway_joke,A Throwaway Joke,Agility,Throw away garbage or toss an item to trigger behavior.,minecraft:story/root,Adventure,25
058,minecraft:adventure/it_spreads,It Spreads,Agility,Spread a block or influence (like spreading roots or spreading a block).,minecraft:story/root,Adventure,75
059,minecraft:adventure/take_aim,Take Aim,Archery,Use a bow to hit a moving target or mob.,minecraft:adventure/ol_betsy,Adventure,100
060,minecraft:adventure/monsters_hunted,Monsters Hunted,Strength,Kill multiple types of hostile mobs.,minecraft:adventure/monster_hunter,Adventure,150
061,minecraft:adventure/postmortal,Postmortal,Health,Use totems or special mechanics to survive death effects.,minecraft:story/root,Adventure,300
062,minecraft:adventure/hired_help,Hired Help,Trade,Hire or interact with a wandering trader or villager effectively.,minecraft:adventure/what_a_deal,Adventure,100
063,minecraft:adventure/star_trader,Star Trader,Trade,Trade with a special villager or complete high-value trades.,minecraft:adventure/hired_help,Adventure,200
064,minecraft:adventure/two_birds_one_arrow,Two Birds One Arrow,Archery,Hit two mobs with one arrow or crossbow shot.,minecraft:adventure/take_aim,Adventure,150
065,minecraft:adventure/whos_the_pillager_now,Who's the Pillager Now,Strength;Defense,Defeat a raid captain or pillager leader.,minecraft:adventure/monsters_hunted,Adventure,250
066,minecraft:adventure/arbalistic,Arbalistic,Archery,Use a crossbow to hit a bullseye or target precisely.,minecraft:adventure/ol_betsy,Adventure,150
067,minecraft:adventure/adventuring_time,Adventuring Time,Agility,Explore all biomes or significant exploration task.,minecraft:adventure/voluntary_exile,Adventure,200
068,minecraft:adventure/sound_of_music,Sound of Music,Agility,Play a music disc in a jukebox in a specific biome.,minecraft:story/root,Adventure,75
069,minecraft:adventure/light_as_a_rabbit,Light as a Rabbit,Agility,Reduce fall damage or use jump/potion to negate damage.,minecraft:story/root,Adventure,100
070,minecraft:adventure/is_it_a_plane,Is It a Plane?,Agility,Glide or fly using elytra over a long distance.,minecraft:adventure/is_it_a_bird,Adventure,200
071,minecraft:adventure/very_very_frightening,Very Very Frightening,Strength,Perform a powerful melee action or use trident to defeat foes.,minecraft:adventure/monsters_hunted,Adventure,300
072,minecraft:adventure/sniper_duel,Sniper Duel,Archery,Kill a skeleton or mob from long range with a bow or crossbow.,minecraft:adventure/take_aim,Adventure,150
073,minecraft:adventure/bullseye,Bullseye,Archery,Hit the target's bullseye with an arrow or trident.,minecraft:adventure/take_aim,Adventure,150
074,minecraft:husbandry/bee_our_guest,Bee Our Guest,Farming,Use a campfire to harvest honey without angering bees.,minecraft:story/root,Husbandry,75
075,minecraft:husbandry/the_parrots_and_the_bats,The Parrots and the Bats,Farming,Tame or breed parrots and bats-related activities.,minecraft:story/root,Husbandry,50
076,minecraft:husbandry/youve_got_a_friend_in_me,You've Got a Friend in Me,Farming,Tame an animal companion.,minecraft:story/root,Husbandry,50
077,minecraft:husbandry/whatever_floats_your_goat,Whatever Floats Your Goat,Farming,Ride a goat in a boat or perform goat-boat interaction.,minecraft:story/root,Husbandry,100
078,minecraft:husbandry/best_friends_forever,Best Friends Forever,Farming,Breed animals and create lasting bonds (breed multiple species).,minecraft:husbandry/youve_got_a_friend_in_me,Husbandry,150
079,minecraft:husbandry/glow_and_behold,Glow and Behold!,Farming,Obtain froglight or similar frog drops.,minecraft:story/root,Husbandry,150
080,minecraft:husbandry/fishy_business,Fishy Business,Farming;Luck,Catch fish using a fishing rod.,minecraft:story/root,Husbandry,75
081,minecraft:husbandry/total_beelocation,Total Beelocation,Farming,Relocate beehives successfully or breed bees.,minecraft:husbandry/bee_our_guest,Husbandry,100
082,minecraft:husbandry/bukkit_bukkit,Bukkit Bukkit,Farming,Use bucket interactions to capture fish or mobs.,minecraft:story/root,Husbandry,75
083,minecraft:husbandry/a_seedy_place,A Seedy Place,Farming,Plant seeds and grow crops.,minecraft:story/root,Husbandry,50
084,minecraft:husbandry/wax_on,Wax On,Farming;Smithing,Apply wax to a copper block to prevent oxidation (or similar).,minecraft:story/root,Husbandry,75
085,minecraft:husbandry/two_by_two,Two by Two,Farming,Breed a pair of animals.,minecraft:husbandry/youve_got_a_friend_in_me,Husbandry,100
086,minecraft:husbandry/birthday_song,Birthday Song,Farming,Trigger a birthday or age-related mechanic for mobs.,minecraft:story/root,Husbandry,50
087,minecraft:husbandry/complete_catalogue,A Complete Catalogue,Farming;Luck,Catch every fish or complete a fish catalogue.,minecraft:husbandry/fishy_business,Husbandry,200
088,minecraft:husbandry/tactical_fishing,Tactical Fishing,Farming;Luck,Use fishing tactics to catch special items.,minecraft:husbandry/fishy_business,Husbandry,150
089,minecraft:husbandry/when_the_squad_hops_into_town,When the Squad Hops into Town,Farming,Lead a group of animals or frogs to a location.,minecraft:husbandry/youve_got_a_friend_in_me,Husbandry,150
090,minecraft:husbandry/balanced_diet,A Balanced Diet,Stamina;Farming,Eat a variety of foods to gain benefits.,minecraft:husbandry/a_seedy_place,Husbandry,125
091,minecraft:husbandry/serious_dedication,Serious Dedication,Farming,Spend time tending to animals or crops (long-term care).,minecraft:husbandry/youve_got_a_friend_in_me,Husbandry,200
092,minecraft:husbandry/wax_off,Wax Off,Stamina;Smithing,Remove wax from a copper block or similar maintenance.,minecraft:husbandry/wax_on,Husbandry,75
093,minecraft:husbandry/the_cutest_predator,The Cutest Predator,Farming,"Use a mob as a pet to capture another small mob (e.g., fox activity).",minecraft:husbandry/youve_got_a_friend_in_me,Husbandry,150
094,minecraft:husbandry/with_our_powers_combined,With Our Powers Combined!,Farming,Combine mob abilities or breed special offspring.,minecraft:husbandry/best_friends_forever,Husbandry,200
095,minecraft:husbandry/healing_power_of_friendship,The Healing Power of Friendship!,Farming,Heal mobs or use animal interactions to restore health.,minecraft:husbandry/youve_got_a_friend_in_me,Husbandry,150
096,minecraft:husbandry/the_power_of_books,The Power of Books,Farming;Smithing,Use books or lecterns to trigger special behaviors or trade benefits.,minecraft:story/root,Husbandry,100
097,minecraft:husbandry/crafting_a_new_look,Crafting a New Look,Farming;Smithing,Change mob appearance using crafting or dyes.,minecraft:story/root,Husbandry,75
098,minecraft:husbandry/respecting_the_remnants,Respecting the Remnants,Farming,Interact with ancient remains like pottery shards or archaeological finds.,minecraft:story/root,Husbandry,150
099,minecraft:husbandry/smithing_with_style,Smithing with Style,Smithing,Trim or customize armor using smithing templates.,minecraft:story/root,Husbandry,200
100,minecraft:husbandry/careful_restoration,Careful Restoration,Smithing,Restore an item or pot using specialized tools.,minecraft:husbandry/smithing_with_style,Husbandry,150
101,minecraft:husbandry/smells_interesting,Smells Interesting,Smithing,Use scented items or interact with mobs via smell mechanics.,minecraft:story/root,Husbandry,75
102,minecraft:husbandry/little_sniffs,Little Sniffs,Smithing,Trigger sniffing mechanics or creature detection behaviors.,minecraft:story/root,Husbandry,50
103,minecraft:husbandry/planting_the_past,Planting the Past,Farming,Plant archaeological finds or ancient seeds to grow crops.,minecraft:husbandry/respecting_the_remnants,Husbandry,150
104,minecraft:adventure/salvage_sherd,Respecting the Remnants (Archaeology),Smithing;Archaeology,Use a brush to salvage pottery shards at an archaeological site.,minecraft:story/root,Adventure,100
105,minecraft:adventure/trim_with_all_exclusive_armor_patterns,Trim with All Exclusive Armor Patterns,Smithing,Apply all exclusive armor trims to unlock patterns.,minecraft:husbandry/smithing_with_style,Adventure,250
106,minecraft:adventure/trim_with_any_armor_pattern,Trim with Any Armor Pattern,Smithing,Trim armor with any pattern using smithing templates.,minecraft:husbandry/smithing_with_style,Adventure,150
107,minecraft:adventure/mine_stone,Mine Stone (duplicate),Mining,(duplicate placeholder),minecraft:story/mine_stone,Adventure,50
108,minecraft:story/smelt_iron_duplicate,Smelt Iron (duplicate),Mining,(duplicate placeholder),minecraft:story/smelt_iron,Minecraft,100
109,minecraft:adventure/mine_diamond_duplicate,Mine Diamond (duplicate),Mining,(duplicate placeholder),minecraft:story/mine_diamond,Adventure,150
110,minecraft:adventure/create_beacon,Create Beacon,Mining;Smithing,Create and activate a beacon.,minecraft:story/mine_diamond,Adventure,500
111,minecraft:adventure/create_full_beacon,Create Full Beacon,Mining;Smithing,Create a full beacon pyramid with all layers.,minecraft:adventure/create_beacon,Adventure,800
112,minecraft:adventure/kill_dragon,Kill the Dragon,Strength;Agility,Defeat the Ender Dragon.,minecraft:end/enter_end,The End,1000
113,minecraft:adventure/respawn_dragon,Respawn Dragon,Alchemy;Adventure,Respawn the Ender Dragon using end crystals and fight again.,minecraft:adventure/kill_dragon,The End,800
114,minecraft:adventure/elytra,Elytra,Agility,Obtain and use elytra from an End City.,minecraft:end/city_at_the_end,The End,300
115,minecraft:adventure/follow_ender_eye,Follow the Ender Eye,Agility,Follow an eye of ender to a stronghold.,minecraft:story/enter_nether,Adventure,150
116,minecraft:adventure/enter_end_gateway,Enter End Gateway,Agility;Adventure,Use an End Gateway to travel to an End island.,minecraft:end/enter_end,The End,250
117,minecraft:adventure/kill_wither,Summon Wither,Strength;Alchemy,Summon and defeat the Wither boss.,minecraft:story/mine_diamond,Adventure,900
118,minecraft:adventure/get_wither_skull,Get Wither Skull,Mining;Adventure,Obtain a wither skeleton skull.,minecraft:adventure/kill_wither,Adventure,400
119,minecraft:adventure/dragon_egg,Dragon Egg,Mining;Adventure,Obtain the dragon egg after defeating the Ender Dragon.,minecraft:adventure/kill_dragon,The End,500
120,minecraft:adventure/spyglass_at_dragon,Spyglass at Dragon,Agility;Archery,Use a spyglass to look at the Ender Dragon.,minecraft:adventure/kill_dragon,Adventure,150
121,minecraft:adventure/spyglass_at_ghast,Spyglass at Ghast,Agility;Archery,Use a spyglass to look at a ghast in the Nether.,minecraft:adventure/return_to_sender,Nether,100
122,minecraft:adventure/spyglass_at_parrot,Spyglass at Parrot,Agility;Archery,Use a spyglass to look at a parrot or mob.,minecraft:adventure/sound_of_music,Adventure,75
